sampleid,type,group,batch,OrganType,PostInfectionDays,InfectionStatus,InfectionStatus_PostInfectionDays_Combo
Liver-849,sample,GSM 6,G681,Liver,5Days,Infected,5Days_Infected
Liver-878,sample,Control 7,G681,Liver,19Days,Uninfected,19Days_Uninfected
Liver-907,sample,Control 7,G681,Liver,19Days,Uninfected,19Days_Uninfected
Liver-936,sample,Control 7,G681,Liver,19Days,Uninfected,19Days_Uninfected
Liver-965,sample,Control 7,G681,Liver,19Days,Uninfected,19Days_Uninfected
Liver-994,sample,Control 7,G681,Liver,19Days,Uninfected,19Days_Uninfected
Liver-1023,sample,GSM 8,G681,Liver,19Days,Infected,19Days_Infected
Liver-1052,sample,GSM 8,G681,Liver,19Days,Infected,19Days_Infected
Liver-1081,sample,GSM 8,G681,Liver,19Days,Infected,19Days_Infected
Liver-1110,sample,GSM 8,G681,Liver,19Days,Infected,19Days_Infected
Liver-1139,sample,GSM 8,G681,Liver,19Days,Infected,19Days_Infected
Lung_Start_blank1,blank,NA,NA,Lung,NA,NA,NA
Lung_Start_blank2,blank,NA,NA,Lung,NA,NA,NA
Lung_Start_blank3,blank,NA,NA,Lung,NA,NA,NA
Lung_Start_blank4,blank,NA,NA,Lung,NA,NA,NA
Lung_Start_blank5,blank,NA,NA,Lung,NA,NA,NA
Lung_6_mix_start,standard,NA,NA,Lung,NA,NA,NA
Lung_pooled_QC1,quality control,NA,NA,Lung,NA,NA,NA
Lung_pooled_QC2,quality control,NA,NA,Lung,NA,NA,NA
Lung_pooled_QC3,quality control,NA,NA,Lung,NA,NA,NA
Lung_pooled_QC4,quality control,NA,NA,Lung,NA,NA,NA
Lung_pooled_QC5,quality control,NA,NA,Lung,NA,NA,NA
Lung_pooled_QC6,quality control,NA,NA,Lung,NA,NA,NA
Lung_pooled_QC7,quality control,NA,NA,Lung,NA,NA,NA
Lung-2,sample,Control 1,G680,Lung,5Days,Uninfected,5Days_Uninfected
Lung-31,sample,Control 1,G680,Lung,5Days,Uninfected,5Days_Uninfected
Lung-60,sample,Control 1,G680,Lung,5Days,Uninfected,5Days_Uninfected
Lung-89,sample,Control 1,G680,Lung,5Days,Uninfected,5Days_Uninfected
Lung-118,sample,Control 1,G680,Lung,5Days,Uninfected,5Days_Uninfected
Lung-147,sample,GSM 1,G680,Lung,5Days,Infected,5Days_Infected
Lung-176,sample,GSM 1,G680,Lung,5Days,Infected,5Days_Infected
Lung-205,sample,GSM 1,G680,Lung,5Days,Infected,5Days_Infected
Lung-234,sample,GSM 1,G680,Lung,5Days,Infected,5Days_Infected
Lung-263,sample,GSM 1,G680,Lung,5Days,Infected,5Days_Infected
Lung-292,sample,Control 2,G680,Lung,19Days,Uninfected,19Days_Uninfected
Lung-321,sample,Control 2,G680,Lung,19Days,Uninfected,19Days_Uninfected
Lung-350,sample,Control 2,G680,Lung,19Days,Uninfected,19Days_Uninfected
Lung-379,sample,Control 2,G680,Lung,19Days,Uninfected,19Days_Uninfected
Lung-408,sample,Control 2,G680,Lung,19Days,Uninfected,19Days_Uninfected
Lung-437,sample,GSM 2,G680,Lung,19Days,Infected,19Days_Infected
Lung-466,sample,GSM 2,G680,Lung,19Days,Infected,19Days_Infected
Lung-495,sample,GSM 2,G680,Lung,19Days,Infected,19Days_Infected
Lung-524,sample,GSM 2,G680,Lung,19Days,Infected,19Days_Infected
Lung-553,sample,GSM 2,G680,Lung,19Days,Infected,19Days_Infected
Lung-582,sample,Control 5,G681,Lung,5Days,Uninfected,5Days_Uninfected
Lung-611,sample,Control 5,G681,Lung,5Days,Uninfected,5Days_Uninfected
Lung-640,sample,Control 5,G681,Lung,5Days,Uninfected,5Days_Uninfected
Lung-669,sample,Control 5,G681,Lung,5Days,Uninfected,5Days_Uninfected
Lung-698,sample,Control 5,G681,Lung,5Days,Uninfected,5Days_Uninfected
Lung-727,sample,GSM 6,G681,Lung,5Days,Infected,5Days_Infected
Lung-756,sample,GSM 6,G681,Lung,5Days,Infected,5Days_Infected
Lung-785,sample,GSM 6,G681,Lung,5Days,Infected,5Days_Infected
Lung-814,sample,GSM 6,G681,Lung,5Days,Infected,5Days_Infected
Lung-843,sample,GSM 6,G681,Lung,5Days,Infected,5Days_Infected
Lung-872,sample,Control 7,G681,Lung,19Days,Uninfected,19Days_Uninfected
Lung-901,sample,Control 7,G681,Lung,19Days,Uninfected,19Days_Uninfected
Lung-930,sample,Control 7,G681,Lung,19Days,Uninfected,19Days_Uninfected
Lung-959,sample,Control 7,G681,Lung,19Days,Uninfected,19Days_Uninfected
Lung-988,sample,Control 7,G681,Lung,19Days,Uninfected,19Days_Uninfected
Lung-1017,sample,GSM 8,G681,Lung,19Days,Infected,19Days_Infected
Lung-1046,sample,GSM 8,G681,Lung,19Days,Infected,19Days_Infected
Lung-1075,sample,GSM 8,G681,Lung,19Days,Infected,19Days_Infected
Lung-1104,sample,GSM 8,G681,Lung,19Days,Infected,19Days_Infected
Lung-1133,sample,GSM 8,G681,Lung,19Days,Infected,19Days_Infected
Serum_Start_blank1,blank,NA,NA,Serum,NA,NA,NA
Serum_Start_blank2,blank,NA,NA,Serum,NA,NA,NA
Serum_Start_blank3,blank,NA,NA,Serum,NA,NA,NA
Serum_Start_blank4,blank,NA,NA,Serum,NA,NA,NA
Serum_Start_blank5,blank,NA,NA,Serum,NA,NA,NA
Serum_6_mix_start,standard,NA,NA,Serum,NA,NA,NA
Serum_pooled_QC1,quality control,NA,NA,Serum,NA,NA,NA
Serum_pooled_QC2,quality control,NA,NA,Serum,NA,NA,NA
Serum_pooled_QC3,quality control,NA,NA,Serum,NA,NA,NA
Serum_pooled_QC4,quality control,NA,NA,Serum,NA,NA,NA
Serum_pooled_QC5,quality control,NA,NA,Serum,NA,NA,NA
Serum_pooled_QC6,quality control,NA,NA,Serum,NA,NA,NA
Serum_pooled_QC7,quality control,NA,NA,Serum,NA,NA,NA
Serum-10,sample,Control 1,G680,Serum,5Days,Uninfected,5Days_Uninfected
Serum-39,sample,Control 1,G680,Serum,5Days,Uninfected,5Days_Uninfected
Serum-68,sample,Control 1,G680,Serum,5Days,Uninfected,5Days_Uninfected
Serum-97,sample,Control 1,G680,Serum,5Days,Uninfected,5Days_Uninfected
Serum-126,sample,Control 1,G680,Serum,5Days,Uninfected,5Days_Uninfected
Serum-155,sample,GSM 1,G680,Serum,5Days,Infected,5Days_Infected
Serum-184,sample,GSM 1,G680,Serum,5Days,Infected,5Days_Infected
Serum-213,sample,GSM 1,G680,Serum,5Days,Infected,5Days_Infected
Serum-242,sample,GSM 1,G680,Serum,5Days,Infected,5Days_Infected
Serum-271,sample,GSM 1,G680,Serum,5Days,Infected,5Days_Infected
Serum-300,sample,Control 2,G680,Serum,19Days,Uninfected,19Days_Uninfected
Serum-329,sample,Control 2,G680,Serum,19Days,Uninfected,19Days_Uninfected
Serum-358,sample,Control 2,G680,Serum,19Days,Uninfected,19Days_Uninfected
Serum-387,sample,Control 2,G680,Serum,19Days,Uninfected,19Days_Uninfected
Serum-416,sample,Control 2,G680,Serum,19Days,Uninfected,19Days_Uninfected
Serum-445,sample,GSM 2,G680,Serum,19Days,Infected,19Days_Infected
Serum-474,sample,GSM 2,G680,Serum,19Days,Infected,19Days_Infected
Serum-503,sample,GSM 2,G680,Serum,19Days,Infected,19Days_Infected
Serum-532,sample,GSM 2,G680,Serum,19Days,Infected,19Days_Infected
Serum-561,sample,GSM 2,G680,Serum,19Days,Infected,19Days_Infected
Serum-590,sample,Control 5,G681,Serum,5Days,Uninfected,5Days_Uninfected
Serum-619,sample,Control 5,G681,Serum,5Days,Uninfected,5Days_Uninfected
Serum-648,sample,Control 5,G681,Serum,5Days,Uninfected,5Days_Uninfected
Serum-677,sample,Control 5,G681,Serum,5Days,Uninfected,5Days_Uninfected
Serum-706,sample,Control 5,G681,Serum,5Days,Uninfected,5Days_Uninfected
Serum-735,sample,GSM 6,G681,Serum,5Days,Infected,5Days_Infected
Serum-764,sample,GSM 6,G681,Serum,5Days,Infected,5Days_Infected
Serum-793,sample,GSM 6,G681,Serum,5Days,Infected,5Days_Infected
Serum-822,sample,GSM 6,G681,Serum,5Days,Infected,5Days_Infected
Serum-851,sample,GSM 6,G681,Serum,5Days,Infected,5Days_Infected
Serum-880,sample,Control 7,G681,Serum,19Days,Uninfected,19Days_Uninfected
Serum-909,sample,Control 7,G681,Serum,19Days,Uninfected,19Days_Uninfected
Serum-938,sample,Control 7,G681,Serum,19Days,Uninfected,19Days_Uninfected
Serum-967,sample,Control 7,G681,Serum,19Days,Uninfected,19Days_Uninfected
Serum-996,sample,Control 7,G681,Serum,19Days,Uninfected,19Days_Uninfected
Serum-1025,sample,GSM 8,G681,Serum,19Days,Infected,19Days_Infected
Serum-1054,sample,GSM 8,G681,Serum,19Days,Infected,19Days_Infected
Serum-1083,sample,GSM 8,G681,Serum,19Days,Infected,19Days_Infected
Serum-1112,sample,GSM 8,G681,Serum,19Days,Infected,19Days_Infected
Serum-1141,sample,GSM 8,G681,Serum,19Days,Infected,19Days_Infected
